"State","Year","Total_Births","Nicu_Births","State_Control","Preterm_Births","Ceasarean_Births","Covid_Year","Total.Population","Birth_Rate","PretermBirth_Rate","CBirth_Rate","NICUBirth_Rate"
"Louisia",2019,58941,5947,"Divided",15333,21606,"0",4648794,0.0126787722,0.260141497429633,0.366569959790299,0.100897507677169
"Louisia",2020,57328,6229,"Divided",15042,21107,"1",4645318,0.0123410281,0.262384873011443,0.368179598102149,0.108655456321518
"Louisia",2021,57437,6382,"Divided",15738,21319,"1",4624047,0.0124213703,0.274004561519578,0.371171892682417,0.111113045597785
"Louisia",2022,56479,6238,"Divided",15906,20056,"1",4590241,0.012304147,0.281626799341348,0.355105437419218,0.110448131163795
"Louisia",2023,54927,6165,"Divided",15680,19803,"1",4573749,0.0120091855,0.285469805378047,0.360533071167186,0.112239882025233
"Maine",2016,12705,968,"Divided",2110,3666,"0",1331479,0.0095420206,0.16607634789453,0.288547815820543,0.0761904761904762
"Maine",2017,12298,961,"Divided",2093,3674,"0",1335907,0.0092057306,0.170190274841438,0.298747763864043,0.078142787445113
"Maine",2018,12311,1058,"Divided",2198,3740,"0",1338404,0.009198269,0.178539517504671,0.3037933555357,0.0859394037852327
"Maine",2019,11779,1017,"Dem",2227,3562,"0",1344212,0.0087627547,0.189065285677901,0.30240258086425,0.0863400967824094
"Maine",2020,11539,975,"Dem",2201,3429,"1",1350141,0.0085465148,0.19074443192651,0.297166132247162,0.0844960568506803
"Maine",2021,12006,1088,"Dem",2392,3704,"1",1372247,0.0087491538,0.199233716475096,0.308512410461436,0.0906213559886723
"Maine",2022,12093,1166,"Dem",2515,3835,"1",1385340,0.008729265,0.20797155379145,0.317125609856942,0.096419416191185
"Maine",2023,11627,1139,"Dem",2465,3614,"1",1395722,0.0083304555,0.212006536509848,0.310828244603079,0.0979616410079986
"Marylan",2016,73136,6315,"Divided",14280,24606,"0",6016447,0.0121560117,0.195252679938744,0.336441697659156,0.0863459855611464
"Marylan",2017,71641,5761,"Divided",14686,24244,"0",6052177,0.0118372282,0.204994346812579,0.338409569939001,0.0804148462472606
"Marylan",2018,71080,5659,"Divided",14322,24058,"0",6042718,0.0117629186,0.201491277433877,0.338463702870006,0.0796145188519977
"Marylan",2019,70178,5539,"Divided",14915,23124,"0",6045680,0.0116079581,0.212530992618769,0.329504973068483,0.0789278691327766
"Marylan",2020,68554,5540,"Divided",14381,23114,"1",6055802,0.0113203833,0.20977623479301,0.337164862735945,0.0808122064358024
"Marylan",2021,68285,5601,"Divided",15340,23441,"1",6165129,0.0110760051,0.224646701325328,0.343281833491982,0.0820238705425789
"Marylan",2022,68782,5363,"Divided",15112,23609,"1",6164660,0.0111574685,0.219708644703556,0.343243871943241,0.0779709807798552
"Marylan",2023,65594,5657,"Dem",14850,22926,"1",6180253,0.0106134814,0.226392657865049,0.349513675031253,0.0862426441442815
"Massach",2016,71317,7272,"Divided",12069,22307,"0",6811779,0.0104696585,0.169230337787624,0.312786572626442,0.101967272880239
"Massach",2017,70702,6998,"Divided",12355,22297,"0",6859819,0.0103066859,0.17474753189443,0.315365901954683,0.0989788124805522
"Massach",2018,69109,6966,"Divided",12330,21719,"0",6902149,0.0100126787,0.178413810068153,0.314271657815914,0.100797291235584
"Massach",2019,69117,6655,"Divided",12837,21657,"0",6892503,0.010027852,0.185728547245974,0.313338252528322,0.0962860077839027
"Massach",2020,66428,6988,"Divided",12461,21462,"1",6893574,0.0096362206,0.187586559884386,0.323086650207744,0.105196603841753
"Massach",2021,69137,7110,"Divided",13500,21757,"1",6984723,0.0098983167,0.195264474883203,0.31469401333584,0.102839290105154
"Massach",2022,68584,6035,"Divided",13815,22656,"1",6981974,0.0098230099,0.201431820832847,0.330339437769742,0.0879942843811968
"Massach",2023,67093,6281,"Dem",13852,22377,"1",7001399,0.0095827991,0.206459690280655,0.333522126004203,0.0936163236105108
"Michiga",2016,113315,8803,"Rep",21751,36227,"0",9928300,0.0114133336,0.191951639235759,0.319701716454132,0.0776860962802806
"Michiga",2017,111426,8880,"Rep",21955,35583,"0",9962311,0.0111847542,0.197036598280473,0.319341984815034,0.0796941467880028
"Michiga",2018,110032,8321,"Rep",21679,35365,"0",9995915,0.0110076966,0.197024501963065,0.321406499927294,0.0756234549949106
"Michiga",2019,107886,8347,"Divided",21974,34512,"0",9986857,0.0108027981,0.203677956361344,0.319893220621767,0.0773687040023729
